Accession	Species	Class
BbCD00584211	Borrelia burgdorferi	2
BcCD00331746	Bacillus cereus	1
BcCD00331747	Bacillus cereus	2
BcCD00341383	Bacillus cereus	1
BcCD00591009	Bacillus cereus	2
BcCD00598397	Bacillus cereus	2
BfCD00598396	Bacteroides fragilis	2
BfCD00665968	Bacteroides fragilis	2
BhCD00331744	Bacillus halodurans	2
BhCD00331745	Bacillus halodurans	2
BhCD00339992	Bartonella henselae str. Houston-1	1
BhCD00339993	Bacillus halodurans	2
BhCD00531146	Bacillus halodurans	1
BhCD00591008	Bacillus halodurans	2
BhCD00598395	Bacillus halodurans	2
BhCD00627864	Bacillus halodurans	1
BpCD00598386	Bordetella parapertussis	2
BsCD00338288	Bacillus subtilis	2
BsCD00338289	Bacillus subtilis	2
BsCD00530862	Bacillus subtilis	2
BsCD00530979	Bacillus subtilis	2
BsCD00584194	Bacillus subtilis	2
BsCD00584195	Bacillus subtilis	2
BsCD00584196	Bacillus subtilis	2
BsCD00584197	Bacillus subtilis	2
BsCD00584198	Bacillus subtilis	2
BsCD00584199	Bacillus subtilis	2
BsCD00627755	Bacillus subtilis	2
BsCD00627756	Bacillus subtilis	2
BsCD00665799	Bacillus subtilis	2
BtCD00584204	Bacteroides thetaiotaomicron	2
BtCD00584205	Bacteroides thetaiotaomicron	2
BtCD00664830	Bos taurus	2
CaCD00331742	Clostridium acetobutylicum	1
CaCD00331743	Clostridium acetobutylicum	1
CaCD00591006	Clostridium acetobutylicum	2
CdCD00331740	Corynebacterium diphtheriae	1
CdCD00331741	Corynebacterium diphtheriae	1
CdCD00344514	Corynebacterium diphtheriae	2
CdCD00591005	Clostridium difficile	1
CdCD00598394	Clostridium difficile	2
CdCD00598692	Corynebacterium diphtheriae	2
CdCD00627863	Corynebacterium diphtheriae	2
CgCD00331737	Corynebacterium glutamicum	1
CgCD00531144	Corynebacterium glutamicum	1
CgCD00627752	Corynebacterium glutamicum	2
CgCD00628070	Corynebacterium glutamicum	1
CgCD00665581	Corynebacterium glutamicum	2
CgCD00665585	Corynebacterium glutamicum	1
ChCD00331735	Cytophaga hutchinsonii	1
ChCD00331736	Cytophaga hutchinsonii	1
CjCD00339996	Campylobacter jejuni	2
CjCD00591007	Campylobacter jejuni	2
CpCD00331734	Colwellia psychrerythraea	1
CrCD00664198	Chlamydomonas reinhardtii	2
CrCD00664199	Chlamydomonas reinhardtii	2
CtCD00664172	Chaetomium thermophilum	2
CtCD00664173	Chaetomium thermophilum	2
CtCD00664555	Chaetomium thermophilum	2
CtCD00664831	Chaetomium thermophilum	2
CvCD00344740	Chromobacterium violaceum	2
CvCD00422991	Chromobacterium violaceum	2
CvCD00598385	Chromobacterium violaceum	2
DhCD00343705	Desulfitobacterium hafniense	2
DmCD00331958	Drosophila melanogaster	1
DmCD00331959	Drosophila melanogaster	1
DmCD00331960	Drosophila melanogaster	2
DmCD00331961	Drosophila melanogaster	2
DmCD00331962	Drosophila melanogaster	1
DmCD00331963	Drosophila melanogaster	1
DmCD00331964	Drosophila melanogaster	1
DmCD00331965	Drosophila melanogaster	1
DmCD00331966	Drosophila melanogaster	1
DmCD00331967	Drosophila melanogaster	1
DmCD00331968	Drosophila melanogaster	1
DmCD00331969	Drosophila melanogaster	1
DmCD00331970	Drosophila melanogaster	1
DmCD00331979	Drosophila melanogaster	2
DmCD00331982	Drosophila melanogaster	1
DmCD00341401	Drosophila melanogaster	1
DmCD00341402	Drosophila melanogaster	1
DmCD00341403	Drosophila melanogaster	2
DmCD00341405	Drosophila melanogaster	1
DmCD00343894	Drosophila melanogaster	1
DmCD00530831	Drosophila melanogaster	1
DmCD00591563	Drosophila melanogaster	2
DmCD00650390	Drosophila melanogaster	2
DmCD00650931	Drosophila melanogaster	2
DmCD00650932	Drosophila melanogaster	2
DmCD00650933	Drosophila melanogaster	2
DmCD00650934	Drosophila melanogaster	2
DmCD00650935	Drosophila melanogaster	2
DmCD00650937	Drosophila melanogaster	2
DmCD00650939	Drosophila melanogaster	2
DmCD00650940	Drosophila melanogaster	1
DmCD00651783	Drosophila melanogaster	2
DmCD00664186	Drosophila melanogaster	1
DmCD00664187	Drosophila melanogaster	2
DmCD00664204	Drosophila melanogaster	2
DmCD00664205	Drosophila melanogaster	2
DmCD00664206	Drosophila melanogaster	2
DmCD00664207	Drosophila melanogaster	2
DmCD00664208	Drosophila melanogaster	2
