Accession	Species	Class
DmCD00664209	Drosophila melanogaster	1
DmCD00664210	Drosophila melanogaster	2
DmCD00664211	Drosophila melanogaster	2
DmCD00664212	Drosophila melanogaster	2
DmCD00664816	Drosophila melanogaster	2
DmCD00664817	Drosophila melanogaster	2
DmCD00665119	Drosophila melanogaster	1
DmCD00665382	Drosophila melanogaster	2
DmCD00665383	Drosophila melanogaster	1
DmCD00665384	Drosophila melanogaster	1
DmCD00665385	Drosophila melanogaster	2
DrCD00598102	Deinococcus radiodurans	2
DrCD00650925	Danio rerio	2
DrCD00650926	Danio rerio	2
DrCD00664175	Danio rerio	1
DrCD00664176	Danio rerio	1
DrCD00664177	Danio rerio	1
DrCD00664178	Danio rerio	1
DrCD00664179	Danio rerio	1
DrCD00664180	Danio rerio	2
DrCD00664181	Danio rerio	1
DrCD00664826	Danio rerio	2
EcCD00331729	Pectobacterium carotovorum	2
EcCD00331730	Pectobacterium carotovorum	2
EcCD00331732	Pectobacterium carotovorum	2
EcCD00331733	Pectobacterium carotovorum	2
EcCD00530860	Escherichia coli	2
EcCD00583657	Escherichia coli	2
EcCD00583658	Escherichia coli	2
EcCD00583659	Escherichia coli	1
EcCD00583660	Escherichia coli	1
EcCD00584188	Escherichia coli	2
EcCD00584189	Escherichia coli	2
EcCD00584190	Escherichia coli	2
EcCD00584191	Escherichia coli	2
EcCD00584192	Escherichia coli	2
EfCD00422995	Enterococcus faecalis	2
EfCD00530901	Enterococcus faecalis	2
EfCD00584208	Enterococcus faecalis	2
EfCD00584209	Enterococcus faecalis	1
EfCD00584210	Enterococcus faecalis	2
GgCD00664184	Gallus gallus	1
GgCD00664185	Gallus gallus	1
GgCD00664200	Gallus gallus	2
GgCD00664201	Gallus gallus	1
HmCD00591001	Haloarcula marismortui	2
HsCD00331394	Homo sapiens	2
HsCD00331395	Homo sapiens	2
HsCD00331396	Homo sapiens	2
HsCD00331397	Homo sapiens	1
HsCD00331398	Homo sapiens	2
HsCD00331399	Homo sapiens	1
HsCD00331400	Homo sapiens	2
HsCD00331401	Homo sapiens	2
HsCD00331402	Homo sapiens	2
HsCD00331403	Homo sapiens	2
HsCD00331404	Homo sapiens	2
HsCD00331405	Homo sapiens	2
HsCD00331410	Homo sapiens	1
HsCD00331411	Homo sapiens	2
HsCD00331412	Homo sapiens	2
HsCD00331413	Homo sapiens	2
HsCD00331414	Homo sapiens	1
HsCD00331415	Homo sapiens	1
HsCD00331416	Homo sapiens	2
HsCD00331417	Homo sapiens	2
HsCD00331418	Homo sapiens	2
HsCD00331421	Homo sapiens	1
HsCD00331422	Homo sapiens	1
HsCD00331424	Homo sapiens	2
HsCD00331425	Homo sapiens	2
HsCD00331426	Homo sapiens	2
HsCD00331427	Homo sapiens	2
HsCD00331428	Homo sapiens	2
HsCD00331429	Homo sapiens	2
HsCD00331430	Homo sapiens	2
HsCD00331431	Homo sapiens	2
HsCD00331435	Homo sapiens	2
HsCD00331436	Homo sapiens	2
HsCD00331437	Homo sapiens	2
HsCD00331438	Homo sapiens	2
HsCD00331439	Homo sapiens	2
HsCD00331440	Homo sapiens	2
HsCD00331441	Homo sapiens	2
HsCD00331443	Homo sapiens	2
HsCD00331444	Homo sapiens	2
HsCD00331445	Homo sapiens	2
HsCD00331447	Homo sapiens	2
HsCD00331490	Homo sapiens	2
HsCD00331491	Homo sapiens	2
HsCD00331492	Homo sapiens	2
HsCD00331494	Homo sapiens	2
HsCD00331496	Homo sapiens	2
HsCD00331497	Homo sapiens	2
HsCD00331499	Homo sapiens	2
HsCD00331503	Homo sapiens	2
HsCD00331504	Homo sapiens	2
HsCD00331505	Homo sapiens	2
HsCD00331506	Homo sapiens	1
HsCD00331507	Homo sapiens	2
HsCD00331508	Homo sapiens	2
HsCD00331509	Homo sapiens	2
HsCD00331510	Homo sapiens	2
HsCD00331511	Homo sapiens	2
HsCD00331512	Homo sapiens	2
HsCD00331514	Homo sapiens	2
HsCD00331515	Homo sapiens	2
HsCD00331519	Homo sapiens	2
HsCD00331520	Homo sapiens	2
HsCD00331521	Homo sapiens	2
HsCD00331523	Homo sapiens	2
HsCD00331524	Homo sapiens	2
HsCD00331525	Homo sapiens	2
HsCD00331787	Homo sapiens	2
HsCD00331788	Homo sapiens	2
HsCD00331789	Homo sapiens	2
HsCD00331791	Homo sapiens	2
HsCD00331792	Homo sapiens	2
HsCD00331793	Homo sapiens	2
HsCD00331794	Homo sapiens	2
HsCD00331795	Homo sapiens	2
HsCD00331796	Homo sapiens	1
HsCD00331797	Homo sapiens	1
HsCD00331798	Homo sapiens	1
HsCD00331799	Homo sapiens	1
HsCD00331800	Homo sapiens	2
HsCD00331801	Homo sapiens	2
HsCD00331802	Homo sapiens	2
HsCD00331803	Homo sapiens	2
HsCD00331804	Homo sapiens	2
HsCD00331805	Homo sapiens	2
HsCD00331806	Homo sapiens	2
HsCD00331807	Homo sapiens	2
HsCD00331808	Homo sapiens	2
HsCD00331809	Homo sapiens	2
HsCD00331810	Homo sapiens	2
HsCD00331811	Homo sapiens	2
HsCD00331812	Homo sapiens	1
HsCD00331814	Homo sapiens	2
HsCD00331815	Homo sapiens	2
HsCD00331816	Homo sapiens	1
HsCD00331817	Homo sapiens	1
HsCD00331818	Homo sapiens	1
HsCD00331819	Homo sapiens	1
HsCD00331820	Homo sapiens	1
HsCD00331821	Homo sapiens	2
HsCD00331822	Homo sapiens	2
HsCD00331823	Homo sapiens	2
HsCD00331824	Homo sapiens	2
HsCD00331825	Homo sapiens	2
HsCD00331826	Homo sapiens	2
HsCD00331827	Homo sapiens	2
HsCD00331828	Homo sapiens	2
HsCD00331829	Homo sapiens	2
HsCD00331830	Homo sapiens	2
HsCD00331832	Homo sapiens	1
HsCD00331833	Homo sapiens	1
HsCD00331834	Homo sapiens	2
HsCD00331835	Homo sapiens	1
HsCD00331836	Homo sapiens	1
HsCD00331839	Homo sapiens	2
HsCD00331840	Homo sapiens	2
HsCD00331841	Homo sapiens	1
HsCD00331842	Homo sapiens	2
HsCD00331846	Homo sapiens	1
HsCD00331847	Homo sapiens	2
HsCD00331872	Homo sapiens	2
HsCD00331873	Homo sapiens	2
HsCD00331874	Homo sapiens	2
HsCD00331875	Homo sapiens	2
HsCD00331876	Homo sapiens	2
HsCD00331877	Homo sapiens	2
HsCD00331878	Homo sapiens	2
HsCD00331879	Homo sapiens	1
HsCD00331880	Homo sapiens	1
HsCD00331881	Homo sapiens	2
HsCD00331882	Homo sapiens	1
HsCD00331883	Homo sapiens	1
HsCD00331884	Homo sapiens	2
HsCD00331885	Homo sapiens	2
HsCD00331886	Homo sapiens	2
HsCD00331887	Homo sapiens	2
HsCD00331888	Homo sapiens	2
HsCD00331889	Homo sapiens	1
HsCD00331890	Homo sapiens	1
HsCD00331891	Homo sapiens	1
HsCD00331892	Homo sapiens	1
HsCD00331893	Homo sapiens	1
HsCD00331894	Homo sapiens	2
HsCD00331895	Homo sapiens	2
HsCD00331896	Homo sapiens	2
HsCD00331897	Homo sapiens	2
HsCD00331901	Homo sapiens	2
HsCD00331902	Homo sapiens	2
HsCD00331903	Homo sapiens	2
HsCD00331904	Homo sapiens	2
HsCD00331905	Homo sapiens	2
HsCD00331906	Homo sapiens	2
HsCD00331908	Homo sapiens	1
HsCD00331909	Homo sapiens	2
HsCD00331910	Homo sapiens	2
HsCD00331911	Homo sapiens	2
HsCD00331912	Homo sapiens	2
HsCD00331913	Homo sapiens	2
HsCD00331914	Homo sapiens	2
HsCD00331915	Homo sapiens	2
HsCD00331916	Homo sapiens	1
HsCD00331917	Homo sapiens	2
HsCD00331918	Homo sapiens	2
HsCD00331919	Homo sapiens	2
HsCD00331920	Homo sapiens	2
HsCD00331921	Homo sapiens	2
HsCD00331922	Homo sapiens	2
HsCD00331923	Homo sapiens	1
HsCD00331924	Homo sapiens	1
HsCD00331925	Homo sapiens	1
HsCD00331927	Homo sapiens	2
HsCD00331928	Homo sapiens	2
HsCD00331932	Homo sapiens	2
HsCD00331933	Homo sapiens	2
HsCD00331971	Homo sapiens	2
HsCD00331972	Homo sapiens	2
HsCD00331974	Homo sapiens	1
HsCD00338358	Homo sapiens	1
HsCD00338359	Homo sapiens	1
HsCD00338361	Homo sapiens	2
HsCD00338362	Homo sapiens	2
HsCD00338364	Homo sapiens	1
HsCD00338366	Homo sapiens	2
HsCD00338367	Homo sapiens	2
HsCD00338371	Homo sapiens	2
HsCD00338372	Homo sapiens	2
HsCD00338373	Homo sapiens	2
HsCD00338374	Homo sapiens	1
HsCD00338375	Homo sapiens	2
HsCD00338376	Homo sapiens	2
HsCD00338377	Homo sapiens	1
HsCD00338381	Homo sapiens	2
HsCD00338382	Homo sapiens	1
HsCD00338383	Homo sapiens	2
HsCD00338418	Homo sapiens	2
HsCD00338419	Homo sapiens	2
HsCD00338420	Homo sapiens	2
HsCD00338421	Homo sapiens	2
HsCD00338422	Homo sapiens	1
HsCD00338423	Homo sapiens	1
HsCD00338424	Homo sapiens	2
HsCD00338425	Homo sapiens	1
HsCD00338426	Homo sapiens	2
HsCD00338427	Homo sapiens	2
HsCD00338428	Homo sapiens	1
HsCD00338429	Homo sapiens	1
HsCD00338430	Homo sapiens	1
HsCD00338431	Homo sapiens	2
HsCD00338433	Homo sapiens	1
HsCD00338434	Homo sapiens	1
HsCD00338438	Homo sapiens	2
HsCD00338439	Homo sapiens	2
HsCD00338440	Homo sapiens	2
HsCD00338441	Homo sapiens	1
HsCD00338443	Homo sapiens	2
HsCD00338444	Homo sapiens	2
HsCD00338446	Homo sapiens	1
HsCD00338448	Homo sapiens	2
HsCD00338452	Homo sapiens	1
HsCD00338453	Homo sapiens	2
HsCD00338454	Homo sapiens	2
HsCD00338455	Homo sapiens	1
HsCD00338456	Homo sapiens	2
HsCD00338457	Homo sapiens	2
HsCD00338459	Homo sapiens	1
HsCD00338460	Homo sapiens	1
HsCD00338461	Homo sapiens	1
HsCD00338462	Homo sapiens	1
HsCD00338463	Homo sapiens	2
HsCD00338464	Homo sapiens	2
HsCD00338465	Homo sapiens	2
HsCD00338467	Homo sapiens	1
HsCD00338468	Homo sapiens	1
HsCD00338469	Homo sapiens	2
HsCD00338470	Homo sapiens	2
HsCD00338473	Homo sapiens	1
HsCD00338943	Homo sapiens	2
HsCD00338945	Homo sapiens	2
HsCD00339128	Homo sapiens	2
HsCD00339129	Homo sapiens	2
HsCD00339130	Homo sapiens	1
HsCD00339131	Homo sapiens	2
HsCD00339132	Homo sapiens	2
HsCD00339134	Homo sapiens	2
HsCD00339135	Homo sapiens	2
HsCD00339463	Homo sapiens	2
HsCD00339464	Homo sapiens	2
HsCD00339465	Homo sapiens	2
HsCD00339466	Homo sapiens	2
HsCD00339467	Homo sapiens	2
HsCD00339468	Homo sapiens	2
HsCD00339469	Homo sapiens	2
HsCD00339470	Homo sapiens	2
HsCD00339471	Homo sapiens	2
HsCD00339472	Homo sapiens	2
HsCD00339473	Homo sapiens	2
HsCD00339474	Homo sapiens	2
HsCD00339475	Homo sapiens	2
HsCD00339476	Homo sapiens	2
HsCD00339477	Homo sapiens	2
HsCD00339478	Homo sapiens	2
HsCD00339479	Homo sapiens	2
HsCD00339480	Homo sapiens	2
HsCD00339481	Homo sapiens	1
HsCD00339482	Homo sapiens	1
HsCD00339483	Homo sapiens	2
HsCD00339484	Homo sapiens	2
HsCD00339485	Homo sapiens	2
HsCD00339486	Homo sapiens	2
HsCD00339487	Homo sapiens	2
HsCD00339493	Homo sapiens	2
HsCD00339501	Homo sapiens	2
HsCD00339502	Homo sapiens	2
HsCD00339503	Homo sapiens	2
HsCD00339504	Homo sapiens	1
HsCD00339645	Homo sapiens	2
HsCD00339646	Homo sapiens	2
HsCD00339647	Homo sapiens	2
HsCD00339648	Homo sapiens	2
HsCD00339652	Homo sapiens	1
HsCD00339653	Homo sapiens	1
HsCD00339654	Homo sapiens	1
HsCD00339655	Homo sapiens	1
HsCD00339658	Homo sapiens	1
HsCD00339659	Homo sapiens	1
HsCD00339660	Homo sapiens	1
HsCD00339667	Homo sapiens	2
HsCD00339668	Homo sapiens	2
HsCD00339669	Homo sapiens	2
HsCD00339942	Homo sapiens	1
HsCD00339943	Homo sapiens	1
HsCD00339944	Homo sapiens	2
HsCD00339946	Homo sapiens	2
HsCD00339947	Homo sapiens	2
HsCD00339949	Homo sapiens	2
HsCD00339950	Homo sapiens	1
HsCD00339997	Homo sapiens	2
HsCD00339998	Homo sapiens	1
HsCD00339999	Homo sapiens	1
HsCD00340000	Homo sapiens	2
HsCD00340001	Homo sapiens	2
HsCD00340002	Homo sapiens	1
HsCD00341368	Homo sapiens	2
HsCD00341369	Homo sapiens	1
HsCD00341371	Homo sapiens	2
HsCD00341372	Homo sapiens	2
HsCD00341373	Homo sapiens	2
HsCD00341386	Homo sapiens	2
HsCD00341387	Homo sapiens	2
HsCD00341408	Homo sapiens	1
HsCD00343582	Homo sapiens	1
HsCD00343583	Homo sapiens	1
HsCD00343584	Homo sapiens	1
HsCD00343585	Homo sapiens	1
HsCD00343586	Homo sapiens	1
HsCD00343587	Homo sapiens	1
HsCD00343588	Homo sapiens	1
HsCD00343589	Homo sapiens	1
HsCD00343590	Homo sapiens	1
HsCD00343591	Homo sapiens	1
HsCD00343594	Homo sapiens	1
HsCD00343595	Homo sapiens	1
HsCD00343596	Homo sapiens	2
HsCD00343597	Homo sapiens	2
HsCD00343600	Homo sapiens	2
HsCD00343602	Homo sapiens	2
HsCD00343603	Homo sapiens	2
HsCD00343604	Homo sapiens	2
HsCD00343605	Homo sapiens	2
HsCD00343607	Homo sapiens	2
HsCD00343608	Homo sapiens	2
HsCD00343609	Homo sapiens	2
HsCD00343613	Homo sapiens	1
HsCD00343617	Homo sapiens	1
HsCD00343619	Homo sapiens	2
HsCD00343620	Homo sapiens	2
HsCD00343625	Homo sapiens	2
HsCD00343626	Homo sapiens	2
HsCD00343627	Homo sapiens	2
HsCD00343628	Homo sapiens	2
HsCD00343629	Homo sapiens	2
HsCD00343630	Homo sapiens	1
HsCD00343636	Homo sapiens	1
HsCD00343637	Homo sapiens	1
HsCD00343638	Homo sapiens	2
HsCD00343639	Homo sapiens	1
HsCD00343640	Homo sapiens	1
HsCD00343641	Homo sapiens	1
HsCD00343708	Homo sapiens	1
HsCD00343710	Homo sapiens	1
HsCD00343715	Homo sapiens	1
HsCD00343717	Homo sapiens	1
HsCD00343718	Homo sapiens	1
HsCD00343719	Homo sapiens	1
HsCD00343720	Homo sapiens	1
HsCD00343721	Homo sapiens	1
HsCD00343722	Homo sapiens	2
HsCD00343723	Homo sapiens	2
HsCD00343725	Homo sapiens	2
HsCD00343726	Homo sapiens	2
HsCD00343727	Homo sapiens	2
HsCD00343728	Homo sapiens	1
HsCD00343731	Homo sapiens	1
HsCD00343732	Homo sapiens	1
HsCD00343733	Homo sapiens	2
HsCD00343734	Homo sapiens	1
HsCD00343735	Homo sapiens	1
HsCD00343736	Homo sapiens	2
HsCD00343737	Homo sapiens	2
HsCD00343887	Homo sapiens	2
HsCD00344322	Homo sapiens	2
HsCD00344323	Homo sapiens	2
HsCD00344324	Homo sapiens	1
HsCD00344325	Homo sapiens	1
HsCD00344326	Homo sapiens	2
HsCD00344327	Homo sapiens	1
HsCD00344328	Homo sapiens	1
HsCD00344329	Homo sapiens	1
HsCD00344330	Homo sapiens	2
HsCD00344331	Homo sapiens	2
HsCD00344332	Homo sapiens	2
HsCD00344333	Homo sapiens	2
HsCD00344334	Homo sapiens	1
HsCD00344335	Homo sapiens	1
HsCD00344336	Homo sapiens	1
HsCD00344337	Homo sapiens	2
HsCD00344338	Homo sapiens	2
HsCD00344339	Homo sapiens	1
HsCD00344340	Homo sapiens	1
HsCD00344341	Homo sapiens	2
HsCD00344342	Homo sapiens	1
HsCD00344343	Homo sapiens	1
HsCD00344344	Homo sapiens	2
HsCD00385659	Homo sapiens	1
HsCD00385660	Homo sapiens	2
HsCD00385661	Homo sapiens	2
HsCD00385662	Homo sapiens	2
HsCD00385663	Homo sapiens	2
HsCD00385665	Homo sapiens	2
HsCD00385666	Homo sapiens	2
HsCD00385667	Homo sapiens	2
HsCD00385668	Homo sapiens	2
HsCD00385669	Homo sapiens	2
HsCD00385670	Homo sapiens	2
HsCD00385672	Homo sapiens	1
HsCD00385674	Homo sapiens	1
HsCD00385675	Homo sapiens	1
HsCD00385676	Homo sapiens	2
HsCD00385677	Homo sapiens	2
HsCD00385678	Homo sapiens	2
HsCD00385679	Homo sapiens	2
HsCD00385680	Homo sapiens	2
HsCD00385681	Homo sapiens	2
HsCD00385682	Homo sapiens	2
HsCD00385684	Homo sapiens	2
HsCD00385685	Homo sapiens	1
HsCD00385686	Homo sapiens	1
HsCD00385687	Homo sapiens	2
HsCD00385688	Homo sapiens	2
HsCD00422922	Homo sapiens	2
HsCD00422934	Homo sapiens	2
HsCD00422935	Homo sapiens	1
HsCD00422943	Homo sapiens	2
HsCD00422978	Homo sapiens	2
HsCD00422987	Homo sapiens	1
HsCD00429618	Homo sapiens	2
HsCD00530788	Homo sapiens	2
HsCD00530816	Homo sapiens	2
HsCD00530817	Homo sapiens	1
HsCD00530825	Homo sapiens	2
HsCD00530828	Homo sapiens	2
HsCD00530829	Homo sapiens	2
HsCD00530871	Homo sapiens	2
HsCD00530872	Homo sapiens	2
HsCD00530873	Homo sapiens	1
HsCD00530875	Homo sapiens	2
HsCD00530884	Homo sapiens	1
HsCD00530888	Homo sapiens	2
HsCD00530889	Homo sapiens	2
HsCD00530890	Homo sapiens	1
HsCD00530891	Homo sapiens	1
HsCD00530954	Homo sapiens	2
HsCD00530975	Homo sapiens	2
HsCD00530999	Homo sapiens	1
HsCD00531001	Homo sapiens	1
HsCD00531016	Homo sapiens	2
HsCD00531017	Homo sapiens	2
HsCD00531018	Homo sapiens	2
HsCD00531019	Homo sapiens	2
HsCD00531148	Homo sapiens	2
HsCD00531149	Homo sapiens	2
HsCD00531150	Homo sapiens	2
HsCD00531151	Homo sapiens	2
HsCD00531308	Homo sapiens	1
HsCD00535939	Homo sapiens	1
HsCD00535940	Homo sapiens	1
HsCD00535941	Homo sapiens	1
HsCD00535942	Homo sapiens	2
HsCD00535943	Homo sapiens	1
HsCD00535945	Homo sapiens	2
HsCD00535946	Homo sapiens	2
HsCD00535947	Homo sapiens	1
HsCD00535948	Homo sapiens	1
HsCD00535949	Homo sapiens	2
HsCD00535950	Homo sapiens	2
HsCD00535952	Homo sapiens	2
HsCD00535953	Homo sapiens	1
HsCD00535956	Homo sapiens	2
HsCD00535957	Homo sapiens	1
HsCD00535958	Homo sapiens	2
HsCD00535959	Homo sapiens	2
HsCD00535960	Homo sapiens	1
HsCD00535961	Homo sapiens	2
HsCD00535962	Homo sapiens	2
HsCD00535963	Homo sapiens	2
HsCD00535964	Homo sapiens	1
HsCD00535965	Homo sapiens	1
HsCD00535966	Homo sapiens	2
HsCD00535969	Homo sapiens	1
HsCD00535971	Homo sapiens	1
HsCD00535972	Homo sapiens	2
HsCD00535973	Homo sapiens	1
HsCD00536008	Homo sapiens	1
HsCD00536009	Homo sapiens	1
HsCD00536010	Homo sapiens	1
HsCD00536011	Homo sapiens	1
HsCD00536012	Homo sapiens	1
HsCD00536013	Homo sapiens	1
HsCD00536014	Homo sapiens	2
HsCD00536015	Homo sapiens	2
HsCD00536017	Homo sapiens	1
HsCD00536018	Homo sapiens	1
HsCD00536019	Homo sapiens	1
HsCD00536020	Homo sapiens	1
HsCD00536021	Homo sapiens	1
HsCD00536024	Homo sapiens	2
HsCD00536025	Homo sapiens	2
HsCD00536026	Homo sapiens	1
HsCD00536028	Homo sapiens	1
HsCD00536029	Homo sapiens	2
HsCD00536031	Homo sapiens	2
HsCD00536032	Homo sapiens	2
HsCD00536033	Homo sapiens	2
HsCD00536034	Homo sapiens	2
HsCD00536035	Homo sapiens	1
HsCD00536036	Homo sapiens	2
HsCD00536037	Homo sapiens	2
HsCD00536038	Homo sapiens	2
HsCD00536039	Homo sapiens	1
HsCD00536041	Homo sapiens	2
HsCD00536043	Homo sapiens	2
HsCD00536044	Homo sapiens	2
HsCD00536045	Homo sapiens	2
HsCD00536046	Homo sapiens	1
HsCD00536047	Homo sapiens	2
HsCD00536050	Homo sapiens	2
HsCD00536237	Homo sapiens	1
HsCD00536239	Homo sapiens	1
HsCD00536240	Homo sapiens	1
HsCD00536241	Homo sapiens	1
HsCD00536242	Homo sapiens	1
HsCD00536245	Homo sapiens	1
HsCD00536246	Homo sapiens	1
HsCD00536247	Homo sapiens	2
HsCD00536249	Homo sapiens	2
HsCD00536250	Homo sapiens	2
HsCD00536251	Homo sapiens	2
HsCD00536252	Homo sapiens	2
HsCD00536253	Homo sapiens	1
HsCD00536254	Homo sapiens	1
HsCD00536255	Homo sapiens	1
HsCD00536256	Homo sapiens	1
HsCD00536261	Homo sapiens	2
HsCD00536262	Homo sapiens	2
HsCD00536263	Homo sapiens	2
HsCD00536264	Homo sapiens	1
HsCD00536265	Homo sapiens	2
HsCD00536268	Homo sapiens	1
HsCD00536271	Homo sapiens	1
HsCD00536276	Homo sapiens	1
HsCD00539725	Homo sapiens	1
HsCD00539726	Homo sapiens	1
HsCD00539727	Homo sapiens	1
HsCD00539728	Homo sapiens	2
HsCD00539731	Homo sapiens	2
HsCD00539732	Homo sapiens	2
HsCD00539734	Homo sapiens	1
HsCD00539735	Homo sapiens	1
HsCD00539737	Homo sapiens	2
HsCD00539738	Homo sapiens	1
HsCD00539741	Homo sapiens	1
HsCD00539743	Homo sapiens	2
HsCD00539745	Homo sapiens	2
HsCD00539748	Homo sapiens	2
HsCD00539749	Homo sapiens	2
HsCD00539750	Homo sapiens	2
HsCD00539751	Homo sapiens	2
HsCD00539752	Homo sapiens	2
HsCD00539753	Homo sapiens	2
HsCD00539754	Homo sapiens	2
HsCD00539801	Homo sapiens	1
HsCD00539802	Homo sapiens	1
HsCD00539803	Homo sapiens	1
HsCD00539804	Homo sapiens	2
HsCD00539805	Homo sapiens	1
HsCD00539806	Homo sapiens	1
HsCD00539808	Homo sapiens	1
HsCD00539809	Homo sapiens	1
HsCD00539810	Homo sapiens	1
HsCD00539811	Homo sapiens	2
HsCD00539812	Homo sapiens	2
HsCD00539813	Homo sapiens	2
HsCD00539814	Homo sapiens	2
HsCD00539815	Homo sapiens	1
HsCD00539816	Homo sapiens	1
HsCD00539817	Homo sapiens	1
HsCD00539818	Homo sapiens	2
HsCD00539821	Homo sapiens	2
HsCD00539822	Homo sapiens	2
HsCD00539823	Homo sapiens	1
HsCD00539824	Homo sapiens	2
HsCD00539825	Homo sapiens	2
HsCD00539826	Homo sapiens	1
HsCD00539828	Homo sapiens	1
HsCD00539835	Homo sapiens	1
HsCD00539838	Homo sapiens	2
HsCD00539894	Homo sapiens	2
HsCD00539895	Homo sapiens	2
HsCD00539896	Homo sapiens	2
HsCD00539897	Homo sapiens	2
HsCD00539898	Homo sapiens	2
HsCD00539899	Homo sapiens	1
HsCD00539900	Homo sapiens	1
HsCD00539901	Homo sapiens	2
HsCD00539902	Homo sapiens	2
HsCD00539903	Homo sapiens	1
HsCD00539904	Homo sapiens	1
HsCD00539905	Homo sapiens	2
HsCD00539906	Homo sapiens	2
HsCD00539907	Homo sapiens	2
HsCD00539908	Homo sapiens	2
HsCD00539909	Homo sapiens	2
HsCD00539910	Homo sapiens	2
HsCD00539911	Homo sapiens	2
